state,metric,stand_size_class,estimate,se,se_percent,plot_count,report_years
OR,volume,Nonstocked,198216197.92957303,30106649.12729312,15.188793570740428,216,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,mortality,Large diameter,930723175.188297,27302424.513936948,2.933463487509411,4620,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,mortality,Medium diameter,40179016.72637757,4354830.032074791,10.83856795633289,376,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,mortality,Small diameter,232145449.8014848,26391943.983977064,11.368710438453862,423,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,mortality,Nonstocked,192567797.00533232,22839988.08023681,11.86075160822677,234,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,biomass,Large diameter,2062639916.9593208,21083038.05959205,1.0221385655462347,8396,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,biomass,Medium diameter,91527025.82940587,4212462.593610708,4.602424863517552,1066,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,biomass,Small diameter,40249421.941396445,1677413.528769028,4.167546881074116,1202,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,biomass,Nonstocked,3269640.217408208,490323.2525263968,14.996244844182527,224,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,growth,Large diameter,1736489191.3936574,40398787.61112814,2.3264635225690755,7197,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,growth,Medium diameter,227135535.79765216,14470675.67777033,6.370943070159569,919,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,growth,Small diameter,-49930492.76072288,25762152.928863537,-51.59603181230563,1179,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,growth,Nonstocked,-142382321.02943057,21113626.52826801,-14.82882592137531,400,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,removals,Large diameter,267372695.42888665,18744731.138253137,7.0107125591807815,621,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,removals,Medium diameter,19058755.582637947,6068334.931259995,31.840142473877453,47,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,removals,Small diameter,869806013.0472171,67010614.085461095,7.70408724247615,267,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,removals,Nonstocked,213433577.39286783,32819847.75961732,15.37707804016503,90,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,sawlog,Large diameter,601736987717.7261,7404391641.441068,1.2305029925988955,8369,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
OR,sawlog,Medium diameter,7617652736.809296,481292974.5476061,6.318127002848898,882,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
